currency pair,volume(24h),last price,change(24h),high(24h),low(24h)
BTC/USD,13 911 396.53 USD,9 352.55999 USD,1.97%,9 400 USD,9 149.04003 USD
ETH/USD,157 701.16 USD,239.96001 USD,0.63%,242.05 USD,235 USD
BCH/USD,92 909.34 USD,228.58578 USD,1.07%,228.94258 USD,221.88376 USD
LTC/USD,76 290.46 USD,43.52060 USD,2.86%,43.75 USD,41.73655 USD
XEM/USD,64 606.27 USD,0.04974 USD,-2.49%,0.05123 USD,0.0487 USD
DOGE/USD,38 834.47 USD,0.00327 USD,3.2%,0.0033 USD,0.00302 USD
DASH/USD,19 741.64 USD,71.65832 USD,1.31%,71.82 USD,70 USD
LSK/USD,15 255.62 USD,1.26994 USD,1.67%,1.2976 USD,1.22821 USD
PPC/USD,5 266.00 USD,0.26749 USD,3.63%,0.26969 USD,0.25521 USD
USD/RUR,2 343.77 USD,70.12426 RUR,-1%,71.2 RUR,70.001 RUR
USDT/USD,1 901.33 USD,1.00680 USD,0.58%,1.00709 USD,0.99622 USD
EMC/USD,807.11 USD,0.05589 USD,-2.63%,0.05893 USD,0.05337 USD
PZM/USD,735.23 USD,0.01251 USD,-9.35%,0.01392 USD,0.0121 USD
NEO/USD,760.05 USD,10.96210 USD,1.22%,11.18899 USD,10.4 USD
KNC/USD,464.48 USD,1.54827 USD,-3.71%,1.60794 USD,1.54827 USD
XRP/USD,390.25 USD,0.20115 USD,1.6%,0.202 USD,0.194 USD
YOC/USD,282.74 USD,0.00024 USD,9.09%,0.00024 USD,0.00019 USD
ZEC/USD,323.18 USD,61.83684 USD,3.22%,63.91872 USD,56.8594 USD
EUR/USD,284.54 USD,1.10784 USD,-0.39%,1.11347 USD,1.1011 USD
USDC/USD,276.04 USD,1.03999 USD,2.83%,1.03999 USD,1.0114 USD
HB/USD,261.39 USD,0.00151 USD,-3.21%,0.00159 USD,0.0015 USD
VRS/USD,259.89 USD,0.02751 USD,5.69%,0.02751 USD,0.02545 USD
MNC/USD,256.23 USD,0.00630 USD,0%,0.0063 USD,0.00629 USD
CPC/USD,264.36 USD,0.04161 USD,2.97%,0.04334 USD,0.03817 USD
TRX/USD,236.08 USD,0.01770 USD,3.51%,0.01848 USD,0.017 USD
STRAT/USD,228.69 USD,0.65594 USD,-5.51%,0.69492 USD,0.65594 USD
ITCM/USD,164.77 USD,0.01004 USD,2.76%,0.01004 USD,0.00651 USD
VMR/USD,111.04 USD,0.38500 USD,28.21%,0.388 USD,0.3003 USD
ALLBI/USD,36.58 USD,0.00007 USD,16.67%,0.00007 USD,0.00006 USD
